Ticker,Date,Open,High,Low,Close,Volume
VIC,20210607,122.8000,126.5000,122.0000,123.0000,3681800
VIC,20210604,118.5000,121.0000,118.5000,121.0000,3689200
VIC,20210603,118.0000,118.8000,117.0000,118.5000,2488900
VIC,20210602,120.2000,121.9000,117.0000,117.5000,3130600
VIC,20210601,116.2000,121.0000,116.0000,120.0000,2155400
VIC,20210531,119.8000,120.0000,116.0000,117.5000,1846800
VIC,20210528,120.1000,123.0000,119.0000,119.8000,1847400
VIC,20210527,120.9000,121.0000,119.0000,120.3000,2081300
VIC,20210526,122.0000,122.2000,120.5000,121.7000,1677500
VIC,20210525,122.4000,122.4000,121.2000,122.3000,1514900
VIC,20210524,122.5000,123.6000,121.0000,122.1000,1985800
VIC,20210521,123.0000,123.0000,120.5000,122.5000,1622400
VIC,20210520,120.1000,123.2000,120.0000,122.9000,2084900
VIC,20210519,120.0000,121.0000,118.1000,120.1000,2178400
VIC,20210518,124.0000,126.0000,121.0000,121.0000,2452700
VIC,20210517,126.0000,130.0000,124.0000,124.0000,2417900
VIC,20210514,126.5000,127.0000,123.2000,125.3000,2609800
VIC,20210513,128.0000,130.0000,126.5000,126.5000,1723500
VIC,20210512,130.0000,132.0000,128.0000,129.8000,1390400
VIC,20210511,132.5000,133.4000,130.5000,131.0000,1164200
VIC,20210510,132.0000,132.5000,129.1000,132.5000,1099300
VIC,20210507,132.0000,132.0000,128.5000,132.0000,1769100
VIC,20210506,133.7000,134.0000,131.0000,132.5000,1064200
VIC,20210505,133.6000,135.8000,133.6000,133.7000,1268600
VIC,20210504,130.6000,134.9000,126.9000,133.6000,1732600
VIC,20210429,131.5000,133.0000,130.7000,131.0000,2181100
VIC,20210428,132.1000,133.2000,129.8000,131.5000,1613300
VIC,20210427,131.5000,133.0000,131.5000,132.1000,1631700
VIC,20210426,139.0000,139.5000,131.0000,131.5000,2434500
VIC,20210423,138.8000,139.5000,133.0000,138.3000,4410000
VIC,20210422,142.0000,142.9000,137.5000,138.8000,3319500
VIC,20210420,144.0000,145.9000,143.0000,143.1000,3108200
VIC,20210419,142.1000,144.2000,141.1000,144.0000,2820300
VIC,20210416,140.9000,144.1000,140.0000,143.0000,2988000
VIC,20210415,139.9000,145.0000,139.9000,140.9000,3419000
VIC,20210414,140.0000,141.8000,138.1000,140.0000,4102600
VIC,20210413,139.0000,141.2000,136.0000,140.7000,5053200
VIC,20210412,124.9000,132.8000,123.4000,132.0000,3481900
VIC,20210409,124.8000,125.4000,123.1000,124.9000,1755500
VIC,20210408,128.4000,128.4000,124.0000,125.4000,1509200
VIC,20210407,127.0000,128.0000,125.7000,127.7000,1698500
VIC,20210406,124.3000,129.5000,124.0000,127.0000,1979400
VIC,20210405,126.0000,126.2000,123.2000,124.3000,2249000
VIC,20210402,123.9000,123.9000,121.5000,123.0000,2255500
VIC,20210401,118.5000,124.4000,117.0000,123.0000,2230900
VIC,20210331,117.5000,119.5000,117.0000,117.9000,2823600
VIC,20210330,112.8000,118.6000,112.0000,117.0000,5179600
VIC,20210329,112.5000,113.5000,112.3000,112.8000,3140900
VIC,20210326,110.0000,113.5000,110.0000,112.4000,2927800
VIC,20210325,107.3000,112.4000,107.1000,110.4000,4322000
VIC,20210324,105.5000,108.0000,103.8000,107.9000,1104100
VIC,20210323,106.0000,107.0000,105.1000,106.5000,1034700
VIC,20210322,107.3000,108.4000,104.5000,107.3000,973900
VIC,20210319,105.6000,108.4000,105.6000,108.4000,1625700
VIC,20210318,105.5000,106.6000,105.2000,106.6000,1473900
VIC,20210317,104.2000,105.3000,104.0000,104.7000,1260400
VIC,20210316,106.0000,106.0000,104.9000,105.4000,1360600
VIC,20210315,105.9000,106.2000,105.4000,106.0000,2632400
VIC,20210312,105.9000,106.5000,105.0000,105.9000,1122300
VIC,20210311,106.0000,108.0000,105.6000,105.9000,1108700
VIC,20210310,104.5000,106.0000,102.1000,106.0000,576300
VIC,20210309,105.0000,106.3000,100.0000,104.3000,1587600
VIC,20210308,106.5000,107.0000,105.0000,106.0000,1390100
VIC,20210305,106.9000,107.5000,105.8000,106.3000,1294800
VIC,20210304,107.6000,107.9000,106.6000,106.9000,1671400
VIC,20210303,106.6000,108.2000,106.5000,106.9000,1075300
