<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VNM,20210604,90.3000,91.0000,89.1000,89.5000,4564400
VNM,20210603,90.0000,90.8000,89.8000,90.2000,3629000
VNM,20210602,89.6000,89.6000,89.0000,89.4000,3672400
VNM,20210601,90.5000,90.7000,89.9000,89.9000,2339900
VNM,20210531,91.8000,92.0000,90.2000,90.5000,3095900
VNM,20210528,91.0000,91.7000,90.4000,91.1000,3122200
VNM,20210527,91.4000,91.6000,90.0000,90.5000,2924300
VNM,20210526,90.0000,91.9000,89.3000,91.0000,3773300
VNM,20210525,91.2000,91.2000,90.0000,90.5000,2791200
VNM,20210524,90.0000,91.9000,89.5000,91.2000,4349800
VNM,20210521,87.9000,90.8000,87.1000,89.2000,3942800
VNM,20210520,87.5000,88.1000,87.0000,88.0000,2800500
VNM,20210519,87.0000,89.0000,87.1000,87.5000,3526100
VNM,20210518,87.2000,88.0000,86.8000,87.0000,2970100
VNM,20210517,89.5000,90.0000,87.2000,87.2000,5001300
VNM,20210514,90.5000,91.2000,89.5000,89.5000,4391200
VNM,20210513,91.8000,91.8000,90.5000,90.5000,3118400
VNM,20210512,91.2000,92.2000,90.0000,91.8000,3199300
VNM,20210511,93.0000,94.5000,91.2000,91.2000,4197000
VNM,20210510,87.0000,93.0000,86.1000,93.0000,8176900
VNM,20210507,89.6000,89.6000,86.8000,87.0000,6744500
VNM,20210506,92.0000,92.0000,89.6000,89.6000,7448600
VNM,20210505,91.6000,93.0000,91.6000,92.0000,3792300
VNM,20210504,93.5000,93.5000,91.5000,91.6000,4112800
VNM,20210429,93.7000,94.2000,91.5000,93.5000,6499700
VNM,20210428,95.7000,95.8000,93.5000,93.7000,5027100
VNM,20210427,96.0000,96.5000,95.0000,95.7000,3149400
VNM,20210426,99.5000,99.5000,96.0000,96.0000,5045600
VNM,20210423,98.0000,99.9000,96.8000,99.5000,3556800
VNM,20210422,99.3000,99.5000,97.0000,98.0000,3166300
VNM,20210420,96.1000,101.0000,96.9000,99.3000,6987200
VNM,20210419,96.9000,97.5000,95.1000,96.1000,5722900
VNM,20210416,99.1000,99.1000,96.4000,96.9000,4876400
VNM,20210415,99.3000,100.5000,98.9000,99.1000,3549400
VNM,20210414,100.0000,100.0000,98.9000,99.3000,3498500
VNM,20210413,100.0000,101.7000,99.7000,100.0000,3799100
VNM,20210412,99.8000,100.3000,99.5000,100.0000,3632400
VNM,20210409,99.9000,100.0000,99.2000,99.8000,2716700
VNM,20210408,100.1000,100.5000,99.4000,99.9000,3603800
VNM,20210407,101.5000,101.5000,100.0000,100.1000,3503700
VNM,20210406,102.6000,102.7000,100.8000,101.5000,3452600
VNM,20210405,102.7000,104.5000,102.2000,102.6000,2822700
VNM,20210402,101.0000,104.0000,102.1000,102.7000,3840000
VNM,20210401,98.4000,101.0000,98.0000,101.0000,5594000
VNM,20210331,99.2000,99.2000,98.0000,98.4000,2815600
VNM,20210330,99.0000,100.1000,98.6000,99.2000,2590400
VNM,20210329,97.4000,99.9000,97.8000,99.0000,2790300
VNM,20210326,98.5000,98.5000,96.6000,97.4000,3653700
VNM,20210325,98.7000,99.7000,98.3000,98.5000,3152700
VNM,20210324,100.2000,100.2000,98.5000,98.7000,3192200
VNM,20210323,100.8000,100.8000,99.7000,100.2000,4554300
VNM,20210322,101.7000,101.8000,100.6000,100.8000,3416300
VNM,20210319,102.5000,102.5000,101.4000,101.7000,2339400
VNM,20210318,100.5000,102.5000,101.0000,102.5000,2553400
VNM,20210317,101.0000,101.0000,100.1000,100.5000,3568400
VNM,20210316,102.2000,102.3000,100.1000,101.0000,4121100
VNM,20210315,102.2000,103.0000,102.1000,102.2000,2379400
VNM,20210312,102.8000,103.3000,101.7000,102.2000,2704600
VNM,20210311,101.1000,103.8000,102.1000,102.8000,2417000
VNM,20210310,100.5000,102.5000,99.8000,101.1000,3391300
VNM,20210309,102.2000,102.2000,100.2000,100.5000,4141900
VNM,20210308,103.0000,103.6000,101.7000,102.2000,3208200
VNM,20210305,103.4000,103.4000,101.7000,103.0000,4187600
VNM,20210304,104.5000,105.5000,103.0000,103.4000,2755100
VNM,20210303,104.9000,104.9000,104.0000,104.5000,2551300
VNM,20210302,105.6000,106.5000,104.0000,104.9000,3050100
VNM,20210301,104.8000,105.9000,105.0000,105.6000,2179000
VNM,20210226,104.6000,104.9000,103.4000,104.8000,3357800
VNM,20210225,105.8000,106.3000,104.2000,104.6000,4282900
VNM,20210224,107.0000,107.9000,105.5000,105.8000,2801000
VNM,20210223,107.5000,108.0000,106.2000,107.0000,3048400
VNM,20210222,108.0000,108.0000,107.3000,107.5000,3006200
VNM,20210219,109.0000,109.0000,107.1000,108.0000,2696500
VNM,20210218,108.7000,109.0000,107.5000,109.0000,2847400
VNM,20210217,108.0000,108.9000,107.3000,108.7000,2872300
VNM,20210209,105.3000,108.9000,104.9000,108.0000,1931700
VNM,20210208,109.6000,109.6000,103.8000,105.3000,4331600
VNM,20210205,108.8000,110.0000,108.6000,109.6000,2231200
VNM,20210204,109.7000,109.7000,107.0000,108.8000,1896800
VNM,20210203,106.4000,109.7000,106.4000,109.7000,3056500
VNM,20210202,102.7000,107.0000,102.3000,106.4000,3350900
VNM,20210201,102.8000,105.2000,102.0000,102.7000,2934800
VNM,20210129,96.1000,102.8000,96.0000,102.8000,4140500
